序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3162,002398,垒知集团,6.21,0.32,0.02,404169.0,252756354.77,1.94,6.3,6.18,6.2,6.19,0.94,7.1,33.33,1.2,4334731009.0,3535442784.0,0.16,-0.16,24.7,44.08,002398.SZ
3166,603103,横店影视,15.58,0.32,0.05,34054.0,52595153.0,1.8,15.58,15.3,15.54,15.53,0.99,0.54,35.97,7.69,9880836000.0,9880836000.0,0.0,0.06,-2.32,9.33,603103.SS
3170,601107,四川成渝,6.34,0.32,0.02,92243.0,58861661.0,1.74,6.44,6.33,6.33,6.32,0.83,0.43,11.19,1.15,19388100400.0,13711771600.0,-0.16,0.0,12.21,28.34,601107.SS
3172,000756,新华制药,15.85,0.32,0.05,85869.0,135764808.59,0.7,15.86,15.75,15.75,15.8,0.72,1.74,32.0,2.12,10932958080.0,7808089195.0,0.0,0.06,-1.98,2.52,000756.SZ
3179,688609,九联科技,9.84,0.31,0.03,51688.0,50670324.0,1.33,9.86,9.73,9.73,9.81,0.78,1.03,-30.78,5.54,4920000000.0,4920000000.0,0.0,0.1,-7.08,-7.17,688609.SS
3180,600820,隧道股份,6.57,0.31,0.02,232212.0,152730992.0,1.07,6.6,6.53,6.55,6.55,0.96,0.74,12.81,0.66,20656711338.0,20656711338.0,-0.15,-0.15,2.82,-4.64,600820.SS
3183,603566,普莱柯,12.78,0.31,0.04,22120.0,28248091.0,0.71,12.8,12.71,12.74,12.74,0.71,0.64,21.11,1.72,4422675849.0,4422675849.0,-0.08,-0.16,-4.91,5.01,603566.SS
3185,002995,天地在线,16.41,0.31,0.05,24928.0,40798649.0,1.22,16.43,16.23,16.3,16.36,0.68,2.22,-49.24,3.28,2912028017.0,1844766383.0,0.0,0.0,-7.76,-25.1,002995.SZ
3187,603230,内蒙新华,12.81,0.31,0.04,31272.0,39742536.0,1.57,12.81,12.61,12.68,12.77,0.64,0.88,16.86,1.62,4528629630.0,4528629630.0,0.0,0.08,4.15,5.17,603230.SS
3189,002900,哈三联,12.93,0.31,0.04,30561.0,39323247.0,1.32,12.95,12.78,12.87,12.89,0.74,1.75,-14.69,2.15,4090503122.0,2262150048.0,0.0,0.0,-1.15,33.99,002900.SZ
3190,688276,百克生物,19.25,0.31,0.06,16179.0,31033451.0,1.09,19.27,19.06,19.2,19.19,0.7,0.39,-37.74,2.01,7962908762.0,7962908762.0,0.05,0.16,-11.82,-22.81,688276.SS
3192,600131,国网信通,16.22,0.31,0.05,45331.0,73501621.0,0.93,16.26,16.11,16.18,16.17,0.69,0.38,41.52,3.11,19437318814.0,19397581517.0,-0.06,0.0,-6.46,-13.45,600131.SS
3193,920278,鹿得医疗,9.62,0.31,0.03,85146.0,82190189.03,3.02,9.79,9.5,9.58,9.59,0.45,11.5,71.18,4.39,1678690000.0,712341760.0,-0.1,-0.1,-6.69,38.42,920278.SZ
3194,600461,洪城环境,9.61,0.31,0.03,72636.0,69822355.0,0.94,9.66,9.57,9.58,9.58,0.91,0.57,9.92,1.28,12340731261.0,12340731261.0,0.0,-0.1,7.98,1.26,600461.SS
3195,603303,得邦照明,13.07,0.31,0.04,10834.0,14118255.0,1.61,13.11,12.9,13.08,13.03,1.05,0.23,23.71,2.0,6233665595.0,6233665595.0,0.23,-0.15,-2.9,25.43,603303.SS
3196,002655,共达电声,12.86,0.31,0.04,165258.0,212678676.7,1.95,12.95,12.7,12.82,12.82,1.25,4.57,55.3,6.35,4653932085.0,4652659909.0,0.0,-0.08,-8.92,1.26,002655.SZ
